Coolpad;Android;30651;yes;no;5;2;16;4;8380;855;2015;889;239,91;174,79;         
Honor;Android;13,84;yes;no;8;5;32;4;2500;850;2015;652;490,18;188,54;         
Xiaomi;Android;45850;yes;no;8;5;32;4;9500;753;2014;1089;669,49;285,01;         
Others;Android;45764;yes;no;8;5;32;4;9500;753;2014;1078;641,13;215,69;         
HTC;Android;47392;yes;no;8;5;32;4;9500;750;2014;689;538,78;195,22;         
Alcatel;Android;27729;yes;no;8;5;32;4;9500;740;2014;921;499,55;207,86;         
Others;Android;30651;yes;no;8;5;32;4;9500;732;2014;799;469,18;205,79;         
Xiaomi;Android;45850;yes;no;8;5;32;4;9500;730,2;2014;1061;420,94;139,84;         
Micromax;Android;17,78;no;no;2;0,3;16;4;6400;680;2013;832;229,96;141,70;         
Motorola;Android;30651;yes;no;12;5;64;4;2256;677;2017;541;900,63;317,09;         
Asus;Android;27729;yes;no;13;16;64;4;3150;666,8;2015;1038;377,46;230,44;         
Samsung;Android;46874;no;no;2;0,3;16;4;6400;660;2013;927;189,09;139,89;         
HTC;Android;30651;yes;no;8;5;16;2;8400;655;2016;691;179,69;156,99;         
XOLO;Android;20,32;no;no;8;5;16;2;8400;655;2016;902;179,17;129,93;         
HTC;Android;27729;yes;no;13;16;64;4;7600;653;2019;430;599,55;146,80;         
Gionee;Android;45850;no;no;2;0,3;32;4;8000;645,4;2013;579;159,08;125,21;         
Karbonn;Android;45850;no;no;12;5;128;6;9720;641;2020;220;999,58;346,33;         
Sony;Android;15,24;yes;no;13;16;32;4;9300;637;2016;833;298,54;136,12;         
Lenovo;Android;20,32;no;no;12;5;1024;4;9720;631;2018;543;1100,86;332,96;         
Nokia;Android;15,32;yes;no;5;2;16;4;7000;626;2013;591;219,57;152,06;         
Nokia;Windows;42644;no;no;2;0,3;32;4;8000;621;2013;1051;199,24;119,52;         
Sony;Android;13424;yes;no;2;0,3;32;4;7000;612;2013;1049;220,49;104,23;         
Microsoft;Windows;45850;no;no;8;5;32;4;7000;597;2015;848;459,1;143,27;         
Infinix;Android;17,32;yes;no;8;5;64;4;7000;580;2019;419;322,19;183,99;         
Others;Android;47392;no;no;8;5;64;4;7000;580;2019;429;319,92;156,61;         
Alcatel;Android;45850;yes;no;5;2;16;4;7300;560;2013;656;189,23;100,64;         
BlackBerry;Others;45850;no;no;2;0,3;32;4;5000;550;2014;800;220,39;122,87;         
ZTE;Android;45850;yes;no;5;2;16;4;6340;550;2014;898;189,21;100,92;         
LG;Android;15,72;yes;no;5;2;32;4;4500;544,3;2018;699;328,32;158,54;         
Asus;Android;45850;yes;no;5;2;16;4;5910;540;2015;899;249,1;101,92;         
LG;Android;45850;yes;no;8;5;32;4;7300;525;2018;452;202,06;123,80;         
Micromax;Android;12693;no;no;5;2;32;4;5000;525;2014;1059;199,92;113,00;         
Gionee;Android;15,27;yes;no;8;5;16;4;7300;525;2016;581;219,17;115,47;         
Motorola;Android;32478;yes;no;8;5;32;3;7000;520;2020;233;181,52;112,93;         
Sony;Android;45566;yes;no;8;5;32;3;7000;520;2020;212;179,32;108,14;         
Honor;Android;12693;no;no;8;5;32;4;9240;517;2015;584;339,02;153,27;         
Others;Android;25,43;no;no;13;16;64;4;6600;510;2017;727;300,03;186,02;         
Samsung;Android;45850;yes;no;5;2;32;4;2660;510;2016;702;271,7;168,14;         
Oppo;Android;47392;yes;no;5;2;32;4;4890;510;2015;999;160,78;119,52;         
ZTE;Android;45850;yes;no;8;5;64;4;7000;509;2016;747;279,3;132,43;         
Others;Android;20,32;no;no;8;5;16;4;7000;509;2015;1074;179,31;108,41;         
Samsung;Others;22828;no;no;5;2;32;2;2700;508;2014;918;230,05;108,97;         
Others;Android;30651;no;no;5;2;16;1;2700;508;2014;578;192,05;126,04;         
Nokia;Others;43221;yes;no;0,3;0,3;16;1;4000;505,2;2019;452;99,96;93,51;         
Others;Android;42644;no;no;2;0,3;32;4;3830;500;2017;878;168,66;106,98;         
Vivo;Android;32478;yes;no;13;16;16;4;6660;500;2016;1007;249,87;141,01;         
Lenovo;Android;15,24;no;no;5;2;16;4;7000;500;2017;646;180,21;116,20;         
Oppo;Android;30651;yes;no;13;16;64;4;7500;498;2019;518;298,56;152,26;         
Xiaomi;Android;15,21;yes;no;13;16;64;4;7500;498;2018;537;390,77;144,96;         
Sony;Android;27729;yes;no;13;16;64;4;7500;498;2019;205;300,3;139,30;         
BlackBerry;Others;46874;no;no;13;16;32;4;7500;498;2018;522;300,48;132,81;         
Alcatel;Android;30651;yes;no;8;5;32;4;8200;498;2019;392;341,12;151,71;         
Others;Others;19,94;no;no;8;5;32;4;8200;498;2019;329;340,2;111,01;         
Others;Android;17,78;yes;no;8;5;16;4;6660;495;2016;1049;240,65;130,33;         
HTC;Android;47392;no;no;8;5;32;4;7800;490;2017;588;400,73;176,37;         
Vivo;Android;30651;yes;no;8;5;32;4;7800;490;2016;566;298,04;162,80;         
Oppo;Android;27729;yes;no;5;2;32;4;2600;490;2015;556;199,1;113,23;         
Huawei;Android;47392;no;no;0,3;0,3;32;4;4700;490;2013;1039;200,05;78,67;         
XOLO;Android;45850;no;no;5;2;16;4;6000;490;2015;822;341,22;112,74;         
ZTE;Android;45850;no;no;5;2;16;4;7400;489;2015;981;250;115,75;         
Samsung;Android;26999;yes;no;13;16;128;4;8620;485;2018;665;260,62;166,71;         
LG;Android;30651;yes;no;13;16;64;6;7250;480;2020;345;278,93;169,93;         
Lenovo;Android;30651;yes;no;13;16;64;6;7250;480;2020;272;279,8;134,74;         
Lenovo;Android;45850;yes;no;2;0,3;16;4;4000;480;2013;1004;119,69;79,67;         
Others;Android;17,78;no;no;8;5;16;4;8220;477;2014;925;418,59;166,34;         
Xiaomi;Android;45884;yes;no;8;5;64;4;7500;475;2018;708;300,03;187,35;         
Meizu;Android;45850;yes;no;8;5;64;4;7000;475;2017;802;270,09;146,98;         
LG;Android;42644;yes;no;2;0,3;32;4;4400;472,4;2013;833;120,98;102,46;         
Honor;Android;15,21;yes;no;12;5;128;6;5770,5;471;2020;248;800,09;296,26;         
Acer;Android;32478;no;no;5;2;16;4;7280;470;2015;696;230,39;88,59;         
Others;Android;27729;yes;no;12;5;64;4;8134;469;2017;629;730,75;198,50;         
Vivo;Android;32478;yes;no;16;25;32;4;9000;469;2018;621;249,61;139,57;         
Infinix;Android;15,39;yes;no;8;5;16;4;8220;469;2014;920;360,88;114,55;         
Lenovo;Android;30651;yes;no;12;5;1024;4;7812;468;2018;525;879,1;472,94;         
LG;Android;32478;yes;no;12;5;64;4;7812;468;2018;601;879,72;212,69;         
LG;Android;28825;yes;no;8;5;16;4;6200;467,2;2015;770;159,11;111,81;         
Vivo;Android;30651;yes;no;8;5;64;4;7040;467;2020;310;378,24;197,86;         
Others;Android;12693;yes;no;5;2;16;4;4600;465;2017;767;181,47;90,72;         
Vivo;Android;16,69;yes;yes;13;16;128;6;7250;460;2020;181;549,63;212,72;         
Sony;Android;20,32;yes;no;13;16;128;6;7250;460;2020;139;550,23;178,12;         
Others;Android;15,24;yes;no;13;16;128;6;7250;460;2019;256;449,11;148,07;         
Huawei;Android;17,83;yes;no;13;16;128;6;7250;460;2019;406;450,26;145,31;         
Realme;Android;15,37;yes;no;8;5;32;4;6150;460;2019;431;221,05;139,01;         
Oppo;Android;47392;no;no;5;2;32;4;4800;460;2017;859;180,72;123,38;         
Others;Android;17,78;no;no;5;2;32;4;5100;460;2018;651;199,93;101,76;         
Huawei;Android;30651;yes;no;8;5;64;4;3969;456;2019;496;550,09;139,36;         
Vivo;Android;45884;yes;no;8;5;16;1;5680;453,6;2013;1048;241,81;134,27;         
Micromax;Android;17,78;no;no;8;5;16;1;5680;453,6;2013;933;240,9;85,81;         
Huawei;Android;27729;yes;no;8;5;64;4;7250;450;2020;211;249,33;169,54;         
Asus;Android;45850;yes;no;8;5;64;4;7250;450;2020;305;250,11;163,61;         
Others;Android;45850;no;no;5;2;16;4;5300;450;2013;1005;198,55;126,59;         
LG;Android;30651;yes;no;5;2;16;4;6000;450;2013;913;239,44;115,45;         
Lenovo;Android;45850;yes;no;5;2;16;4;6000;450;2015;1054;251,11;96,27;         
Others;Android;45850;no;no;5;2;16;4;5830;439;2016;926;189,38;122,98;         
Xiaomi;Android;16,59;yes;no;12;5;32;4;7306;437;2016;704;689,21;215,61;         
Samsung;Android;17,78;no;no;5;2;32;4;4800;433;2015;801;180,12;89,76;         
Honor;Android;15,32;yes;no;8;5;32;4;5900;430;2016;1063;338,89;149,74;         
Motorola;Android;15,34;yes;no;13;16;32;4;3000;429;2017;793;400,61;142,01;         
Others;Android;45850;yes;no;12;5;128;6;7040;420;2019;517;599,88;230,03;         
Others;Android;45850;yes;no;8;5;128;6;7040;420;2020;321;800,85;161,37;         
Apple;iOS;45675;yes;no;8;5;16;4;4450;415;2017;886;389,75;117,58;         
Others;Android;45850;no;no;2;0,3;16;4;4000;415;2018;636;98,89;76,61;         
Meizu;Android;45850;yes;no;5;2;32;4;4960;410;2013;905;120,67;91,26;         
ZTE;Android;42644;yes;no;2;0,3;32;4;4700;406;2013;1025;140,29;84,74;         
Lenovo;Android;12693;no;no;5;2;16;4;2500;406;2015;737;211,88;106,14;         
Others;Android;45850;yes;no;5;2;32;4;4500;404;2014;614;359,71;84,07;         
Others;Android;27576;no;no;0,3;0,3;32;4;3000;402;2013;646;90,51;79,69;         
Others;Android;25,43;no;no;13;16;128;4;7040;400;2019;252;419;212,34;         
Alcatel;Android;17,78;no;no;2;0,3;8;1;1800;400;2013;836;139,95;78,10;         
Alcatel;Android;28825;yes;no;5;2;32;4;5400;390;2014;918;299,21;155,00;         
Oppo;Android;45850;yes;no;5;2;16;4;5400;390;2014;720;230,91;85,75;         
Others;Android;45850;no;no;0,3;0,3;4;1;1800;390;2013;1041;99,9;74,24;         
Xiaomi;Android;13,84;yes;no;5;2;32;4;4450;384;2014;767;170,81;78,89;         
Spice;Android;45850;no;no;5;2;32;4;4600;380;2015;713;250,68;135,83;         
Honor;Android;45791;yes;no;5;2;16;4;4000;380;2014;801;128,6;84,25;         
Samsung;Android;45566;yes;no;5;2;32;4;4000;374;2013;724;188,9;73,14;         
Alcatel;Android;30651;yes;no;8;5;16;2;2000;374;2013;1064;281,23;82,68;         
Samsung;Android;13424;no;no;2;0,3;16;4;3000;370;2013;706;129,73;76,43;         
Huawei;Android;47392;yes;no;2;0,3;16;4;3210;369;2017;790;109,89;63,73;         
HTC;Android;45566;no;no;8;5;16;4;5000;364;2017;672;201,2;115,21;         
Samsung;Android;15,32;yes;no;5;2;32;4;4200;360;2014;1012;139,43;102,11;         
Acer;Android;45850;yes;no;5;2;32;4;4800;360;2014;652;148,46;94,51;         
Sony;Android;12693;yes;no;5;2;32;4;4290;360;2015;769;120,59;91,00;         
